section,text,ground_truth,base_pred,finetuned_pred,model,accuracy,precision_w,recall_w,f1_w,report
metrics,,,,,xlm-roberta-base,0.614,0.376996,0.614,0.4671573729863692,"              precision    recall  f1-score   support

           0       0.61      1.00      0.76       307
           1       0.00      0.00      0.00        31
           2       0.00      0.00      0.00       162

    accuracy                           0.61       500
   macro avg       0.20      0.33      0.25       500
weighted avg       0.38      0.61      0.47       500
"
metrics,,,,,fine-tuned,0.768,0.7164150793650793,0.768,0.7377407190444513,"              precision    recall  f1-score   support

           0       0.79      0.92      0.85       307
           1       0.00      0.00      0.00        31
           2       0.72      0.62      0.67       162

    accuracy                           0.77       500
   macro avg       0.50      0.52      0.51       500
weighted avg       0.72      0.77      0.74       500
"
predictions,من عاشق چشم تو و خواب نگاه تو شدم... #دلتنگی,neg,neg,neg,,,,,,
predictions,واقعا جاي من خالي خوب گوش مالي اش ميداديد!!! فكر كردن هنوز تو قرون وسطي زندگي ميكنيم. اينا ديگه كين؟؟؟ مظلوم گير آوردند . نترسين و مطمئن باشيد كه همين زنان سركوب شده هستند كه بزودي اين رژيم را سرنگون خواهند كرد !!!! اين خط و اين نشون https:// twitter.com/FarbodArian/st atus/1002175365173915649 …,neg,neg,neg,,,,,,
predictions,داشت يادم ميرف توييت كنم پاساژ ايرانيان #دزد ن #دزد,neg,neg,neg,,,,,,
predictions,اتفاقاً سیاستهای جهانی رو تیتر #کیهان تاثیر میذاره! #توهم,neg,neg,neg,,,,,,
predictions,ما لياقت دموكراسي رو نداريم.هنوز هم بيفرهنگيم.تضميني نيست كه اگه حكومت مركزي نباشه وسط خيابون شلوار همو نكشيم پايين،هنوز لياقتشو نداريم #ننگ,neg,neg,neg,,,,,,
predictions,کسی که دایرکت جوتب نمیده ولی فیو میزنه اگه گفتید چیه افرین همونه,neg,neg,neg,,,,,,
predictions,خب تمام مشکلات مملکت حل شد و از امروز شاهد کاهش دلار هستیم! یه مشت #کسخل,neg,neg,neg,,,,,,
predictions,آقااا! اینجایی که اقامت گزیدیم علاوه بر اینکه چسبیده به دریا و ساحل اختصاصی داره، زمین والیبال و بسکتبال و دوچرخه سواری و موتورسواری، دستگاه ورزشی و پارک و میز پینگ پنگ و بیلیارد و استخر و چند تا رستوران و کافی شاپ داره! همش داخل مجموعه من دیگه برنمیگردم تهران! #ذوق_مرگ,pos,neg,neg,,,,,,
predictions,سرخوش و شادم اکثر اوقات :)),pos,neg,pos,,,,,,
