text,pred_id,pred_label,p_label0,p_label1,p_label2,true_id,true_label
من عاشق چشم تو و خواب نگاه تو شدم... #دلتنگی,0,neg,0.9047695,0.016788814,0.07844175,0,neg
واقعا جاي من خالي خوب گوش مالي اش ميداديد!!! فكر كردن هنوز تو قرون وسطي زندگي ميكنيم. اينا ديگه كين؟؟؟ مظلوم گير آوردند . نترسين و مطمئن باشيد كه همين زنان سركوب شده هستند كه بزودي اين رژيم را سرنگون خواهند كرد !!!! اين خط و اين نشون https:// twitter.com/FarbodArian/st atus/1002175365173915649 …,0,neg,0.82688093,0.036773708,0.13634536,0,neg
داشت يادم ميرف توييت كنم پاساژ ايرانيان #دزد ن #دزد,0,neg,0.8667726,0.024104068,0.10912326,0,neg
اتفاقاً سیاستهای جهانی رو تیتر #کیهان تاثیر میذاره! #توهم,0,neg,0.970707,0.006411797,0.022881294,0,neg
ما لياقت دموكراسي رو نداريم.هنوز هم بيفرهنگيم.تضميني نيست كه اگه حكومت مركزي نباشه وسط خيابون شلوار همو نكشيم پايين،هنوز لياقتشو نداريم #ننگ,0,neg,0.9629848,0.007595779,0.029419372,0,neg
کسی که دایرکت جوتب نمیده ولی فیو میزنه اگه گفتید چیه افرین همونه,0,neg,0.8394653,0.029968496,0.13056618,0,neg
خب تمام مشکلات مملکت حل شد و از امروز شاهد کاهش دلار هستیم! یه مشت #کسخل,0,neg,0.97386444,0.006280807,0.019854758,0,neg
آقااا! اینجایی که اقامت گزیدیم علاوه بر اینکه چسبیده به دریا و ساحل اختصاصی داره، زمین والیبال و بسکتبال و دوچرخه سواری و موتورسواری، دستگاه ورزشی و پارک و میز پینگ پنگ و بیلیارد و استخر و چند تا رستوران و کافی شاپ داره! همش داخل مجموعه من دیگه برنمیگردم تهران! #ذوق_مرگ,0,neg,0.48974642,0.11826823,0.3919854,2,pos
سرخوش و شادم اکثر اوقات :)),2,pos,0.042089563,0.06074529,0.8971651,2,pos
بله بله، ما مزدوریم، شاه هم خائن بود. آخوندهایی هم که از 40 سال پیش به قبل ایران رو قبول ندارن و از حمله اعراب با افتخار صحبت میکنن هم دوستدار ایران و این خاک هستن. شما عده ای فریب خورده بی گناه هستید. به موقعش به اشتباهات امروزتون پی میبرید.,0,neg,0.9513043,0.009497247,0.039198432,0,neg
من ده سال پیش دلمه خوردم انقد بدمزه بود که فقط برای آبروداری تا آخر خوردمش ولی دیگه تا به الان هیچوقت نخوردم، اصلا با روحیه ی من سازگار نیس,0,neg,0.9422608,0.010951775,0.04678732,0,neg
کروبی خودش یه زمانی ظالم بوده و هنوز طرفدار بقای ج.ا,0,neg,0.9735135,0.006615713,0.019870728,0,neg
چه خوب که توهم مثه من از دی مود استفاده میکنی میلاد نایت مود نمیشه,2,pos,0.047377434,0.06125834,0.8913642,1,med
بسه دیگه بابا.اومدیم با شاخ گاو درافتادیم خودمون رو بیچاره کردیم.عباس با رجوی ملاقات میکنه، مشعل وگردانهای عزالدین قسام ایرانیهارو تو سوریه میکشن اونم بعد از 40 سال کمک. دنیای عرب هم به خاطراین کمکهابجای اینکه قدردان باشه، شده دشمن. مردم هم اینارو میبینن.آخه این چه سیاست مزخرفیه؟,0,neg,0.9690861,0.0067069293,0.024206944,0,neg
"یه ضرب المثلی هست می گه : یک شب بخور نون و تره ,صد شب بخور دول خره البته آپدیتش کردم ! #ایران #زندگی #خاک_بر_سر #غلط_است_دیگر",0,neg,0.9740552,0.0062882886,0.019656489,0,neg
تا چشم کار میکنه خایه دار و خایه مال و خایه خور و عده ای خایه فنگ و خایه کرده از شرایط پیش آمده. البته لازم ب ذکره عده ای بی خایه هم داریم ک خایه های دختر شال ب چوب زده هم وزن کل خاندانشونه. (یامین پور اینا) #تظاهرات_سراسرى #سطل_آشغال #فیلتر #خایه_مال,0,neg,0.9745083,0.006430874,0.019060858,0,neg
هواخواه تو ام جانا و میدانم که تخمت نیست,0,neg,0.5842714,0.09340914,0.32231945,2,pos
واقعا خسته نباشی آقای #روحانی چقدر قوی و دلگرم کننده صحبت کردی. یعنی واقعا ریست کردی #برجام,0,neg,0.72850066,0.05615387,0.21534549,2,pos
فرزندتون کجاست همین دور و بر با رانت دولتی که به اسم یکی دیگِ است راحت دارِ اوقات خوشی در سواحل جزایر قناری میگذرونِ #آقا_زاده,0,neg,0.73122686,0.055689503,0.21308365,0,neg
اونو دیگه باید از #تفکر_اصلاحطلبی پرسید که بیشتراز #۲۸سال از عمر ۳۹سالۀ انقلاب رو رئیس دولت بودن... #پررو,0,neg,0.9726226,0.006313771,0.021063605,0,neg
میخوام تا کمر از پنجره برم بیرون شروع کنم داد زدن . مردم که جمع شدن پنجره رو ببندم,0,neg,0.95087147,0.009441472,0.03968701,0,neg
