text,label
والا ما با مریضای کرونا مثبت کار میکنیم اون وقت حقوق معلما که تو خونه نشستن زیاد میشه تازه بهشون اینترنت رایگانم میدن دریغ از این که نمیتونیم خونوادمونو ببینیم اون وقت اینا دائم پیش خونوادشونن کاش انقدر که هوای معلما رو دارن هوای کادر درمانیم داشتن از این که هر روز خبر میاد که فلان همکار حالش بد شده مثبت شده نمیتونه بیاد و اینکه خودمونم تا چند هفته دیگه جز اون همکارایی میشیم که دیگه از شدت بیماری و درگیری با کرونا نمیتونیم بیایم سر کار، خدا خودش بهمون رحم کنه هیچکی هوای کادر درمانی و نداره و ما داریم با کمترین کمترین امکانات و یه جفت ماسک و دستکش شیفت 24 میریم😢😢😢,0
چقدرررر فیوات شادم کرد مرسی این همه قلب پشت هم جذااابیت داشت,2
شاید زندگی ،همین زندگی نکردن های ماست. #افسرده,0
اقای جهرمی ایرانسل بسته های مودمشو گرون کرده زورشون کردید ۱۰۰ گیگ بدن الان دارن تلافی میکنن,0
زایمان همه این مادران covid19 +. سزارین بوده یا طبیعی؟,1
کشورهای اروپایی که شرکت های هواپیماییشون رو مجبور به قطع ارتباط با چین کرده بودند چرا کرونا گرفتند؟اونها که انتخابات و راهپیمایی نداشتند چرا کرونا گرفتند؟اونها که قرنطینه کردند چرا کرونا گرفتند ؟اونها که تحریم نیستند و تو مسایل بهداشتی و پزشکی پیشرفته هستند چرا امار ابتلا و مرگ و میرشون بالاست؟ اونا که مدیریت بحرانشون عالیه چرا با کمبود ماسک و شوینده و دستکش و مواد  غذایی مواجه شدند ؟,1
وقتی بزرگ شود داستان ها برایش خواهند گفت . داستان سرافرازی قله های بلند قصه آویستا خابور را بارین کوبانی را و.... وافسانه بهار را که چگونه جوانه زد انسان همراه با زمین واز نوروز پیروز عفرین که درآن به دنیا آمد زنده باشی#عفرین_آزاد,2
هواخواه توام جانا و می دانم که می دانی #حافظ,2
هیچی بدتر از این نیست که توی یه خونه خالی مجبورشی درس بخونی خیلی برام سخته بی ‌ حوصله میشم اینجوری :(,0
تا از کرونا راحت بشیم,1
به شدت موافقم پسرایی که تمام فکرشون شده دختر و سکس مرد های که فکرشون پیش دختر های کم سن ساله‌ آمادگی پذیرش آزادی پوشش رو ندارن چون محدودیت عقده ایشون کرده چه زن هارو چه مرد هارو و این میتونه فاجعه آفرین باشه برای آزادی پوشش دست کم ١٠ سال فرهنگ سازی لازمه,0
باباجونم از وقتی یادمه از ۸ شب میخوابید .. ساعت ۳ بیدار میشد، حظ شب هم میبرد ، خواب خوبم میرفت ، طلوع آفتابم بیدار بود کامروا میشد,2
چرا به سیمکارتا اینترنت رایگان نمیدین؟,1
سال ۱۹۶۷ #اعراب به پشتگرمی وعده های #شوروی‌ بر طبل جنگ با #اسراییل کوبیدند. کشورهای عربی با صدها هواپیما، تانک و بیش از ۱ میلیون نفراز خشکی‌ و دریا اسراییل رو در محاصره داشتند ولی در عرض ۶ روز شکست خوردند. شوروی فقط نگاه کرد! #عرزشی یه ذره #کتاب بخون خودت و مملکت رو به فنا ندی!,0
آقای جهرمی یه دروغ۱۳ بگید تا مردم شک بهشون وارد بشه😁😁😁,0
چرااا چرااا اقای جهرمی اینترنت رایگان خط نمیدینن...؟؟؟,0
درست میگن بدون گلوله جواب میدیم پیشنهاد اینه که اشنا برود مذاکره با تروریستها.. #احمق #بیشعور_سیاسی #ابوموسی_اشعری,0
پس حال مارو هم خوب کن,2
اقای جهرمی تلفنتو بردار زنگ بزن مخابرات اصفهان بپرس چرا نت اصفهان قطعه؟؟؟؟؟؟؟,0
جناب جهرمی عزیز، جناب نمکی کامنت هارو بستن مثل خیلی ها،اگه بهشون دسترسی دارید بفرمائید علت عزل دکتر اخوان اکبری رئیس دانشگاه علوم پزشکی چیه،اونم تو این شرایط سخت بحرانی یک مدیر دلسوز کار بلد و صادق,0
وضعیت کنونی اینترنت خیلی داغونه رییس,0
به جا این کارا برو سرعت اینترنت و درست کن,0
آقای وزیر نمونه.آقای جهرمی‌من یک زن ۳۲ ساله تبریزی که یک فرزند دارم و واقعا یکی از طرفداران شماهستم و برایتان این‌چندمین بار هست که میگویم لیاقتتان خیلی بیشتر از وزیر بودن هست. آقای جهرمی شوهرم کارمند شرکت شصتگام مخابرات بخش ام دی اف هست.بیشتر از کارمندان رسمی زحمت میکشن و کار میکنن نوبت تعطیلی بخاطر کرونا میشه اینا آدم حساب نمیشن چون ما کروناهم بگیریم اشکالی نداره.روز کارگر مال اینا نیست چون نه هدیه میگیرن البته با زحمتهای شما تعطیل میشن.پول اضافه کار مال اینا نیست.تعطیلی پنجشنبه و جمعه و عید و عاشورا و تاسوعا مال اینا نیست.قراداد هم که سه ماه به سه ماه خون دل وجیگر باید بخوریم که خدایا بعد سه ماه تمدید نشد پول اجاره و واممون چی میشه؟آقای وزیر برای کمترین و پایه ترین حقوق ۱۷۰۰ که ذره ای از زحمتها و گوشه کارشون هم جبران نمیشه باید ماهی ۶۰۰ اجاره و ۶۰۰ وام و ۴۰۰ هم باید خوراک بخریم قبض بدیم.حالا پوشاک هیچی.ما عادت داریم کهنه بپوشیم و کهنه یکی هم دیدیم بگیم بده برا خودمون لباس کنیم.آقای وزیر میدونی وقتی دخترم از باباش وقتی از سرکار میاد میپرسه بابا برا من‌چی خریدی؟عروسکمو گرفتی.بیسکوییتم رو گرفتی فلان‌چیز گرفتی.باباش چقد عرق میکنه و بارها من شاهد اشکاش بودم.آقای وزیر میدونی تو ۴۲ سالگی خونه نداشتن و برج هرماه صاحبخونه زنگ زدن یعنی چی.آقای وزیر میدونی بخاطر ندادن قبض هر چندماه میان یه چیزی رو قطع میکنن چه خجالتی میکشم پیش همسایه ها.اخه ما تو یخچال چیزی نداریم بزار قطع کنن.آقای وزیر من ۳۲ سالمه من یاد گرفتم که با هیچی غذا درست کنم و بخوریم و خداروشکر کنیم.اما دخترم داره بزرگ میشه.به من میگه مامان میشه کباب درست کنی.مامان میشه ماهی درست کنی برام.میدونی اونموقع چیکار میکنم.براش نقاشیشو میکشم و به دخترم میگم مثلا پختم بیا بخور.وقتی دخترم میگه مان چقد خوشمزه هست اونموقع سوزش قلبام به چشمام میزنه و اشکام جاری میشه.,0
دیگ معیار خطرناکی شده کرونا,0
حاجی خسته نباشی واقعا ایول داری فقط اینترنت های خانگی که نسبت به پارسال هم حجمش اومد پایین هم قیمتش رفت بالا اینم مث اونا نباشه 🌹🌹👌👌💓💓,2
ای کلک تو این قرنطینه کجا میری آرایشگاه؟,1
