Unnamed: 0,id,shortcode,text,modified_at,label,sentiment
0,18133671838010712,B99Ek3LD6ea,یه نت دوباره بدین خب اینجوری از کرونا نمیریم از افسردگی و کسالت میمیریم اقای جهرمی لطفا یه کاری کن یه اینترنتی چیزی لطف کن,2020-05-18 16:31:28,0,0
1,17908893805424630,B99Ek3LD6ea,جا این چرتو پرتا اینترنت کسشعرو درست کنید از کرونا نمیرم از این نت تخمی سکته میکنم میمیرم😑😑😑😑😑😑😑😑😑😑😑😑,2020-07-26 14:05:28,-1,-1
2,17862871105740280,B99Ek3LD6ea,خراب بمون همدان،نیایید لعنت بهتون نیایید،  خیابون نگاه میکنم ماشین پلاک شهرستان، لعنت بهتون ما مسافرت نرفتیم شماها اومدید همدان چکار،؟کی گفته ما مهمان نوازیم، آقا نیایید شمارو به مقدساتتون نیایید همدان، خراب نکنید نیایید،بعد کرونا قدمتان رو چشم،نیایید,2020-07-27 15:17:21,-1,-1
3,17941774633339630,B98O-FbjkEG,"جناب وزیر محترم سلام و عرض ادب و سال نو مبارک،
با توجه به شیوع بیماری کرونا و درخواست های مکرر خود  قرنطینگی و استقبال بخشی از مردم،بنده و خانوادم از تاریخ ۱۵ اسفند قرنطینه را شروع کردیم،وتاریخ ۲۵ اسفند از سامانه ۲۰۲۰ اقدام به خرید اینترنت adsl کردیم ولی متاسفانه تا همین لحظه بعد از تقریبا ۸ روز پیگیری های ادامه داره من هنوز اینترنت وصل نشده از طریق مرکز مخابراتی حکمت شعار نارمک،با توجه به اینکه بنده کابل ورودی منزل را کاملا نو و شیلد و یکپارچه برای جلوگیری از نویز گرفتم و حتی دوبار هم مودم تغییر دادم بازهم موفق نشدیم اینترنت را وصل کنیم،ومتاسفانه واقعا کسی پاسخگو نیست و فقط درخواست صبر و شکیبایی از ما دارند.
جای تاسف داره با این حجم تبلیغ  یک درخواست ساده اینگونه بلاتکلیف مونده و من واقعا مصتعسل شدم.
خواستم این گلگی رو اینجا مطرح کنم شاید ترتیب اثری داده بشه.",2020-07-15 12:43:11,0,-1
5,17871844720624590,B9cW_Sggv5U,واقعا چرا صبر نمیکنین تموم بشه کرونا بعد ضبط کنین الان خیلیا از کارشون محرومن‌و زندگیشون رو هواست و واقعا در مضیقه ان ولی شماها ک پولشو نیاز ندارین فعلا اگر یک نفر هم این وسط ناقل باشه شماها مسئولین,2020-08-03 13:28:12,-1,-1
6,17885965870518600,B9W8zIfDP3U,هر کی خودِشِ بشوره دیگه کرونا نمیگیره🤣🤣🤣🤣😂😂,2020-07-25 02:56:25,-1,-1
7,17955961381311000,B9eoEOmJtZd,راستی الان یه سوال ب ذهنم خطور کرد این چینیا قبلا همه چیز خوار بودن شاید خفاش هم جزو بر نامه غذایی شون بوده این کرونا قبلا نبود اون موقعه نیامد چرا حالا پس نتیجه میگیرم کاسه ی زیر نیم کاسه هست,2020-07-15 00:10:41,-1,0
8,17956449844309650,B9eOcaPFR6V,اینکه تو یه ماشین سه ملیاردی بشینی و هی بگی یه چیزی میشه خیلی ترس نداره ولی اینکه یه کارگر روز مزد تو این شرایط بد اقتصادی و کرونا که الان تو فقر و بدبختی نشسته بگه یه چیزی میشه میرسه به زندان و طلاق فلاکت کاش حداقل روی سن این ترانه اجرا میکردی شاید مخاطب یه کمی درک میکرد,2020-06-01 23:09:13,-1,-1
9,18109851730111620,B9Zp59mlz1z,آره کشورهای اروپایی خییییلی خوب عمل کردن که آمار کشته هاشون سر به فلک زده برو تو همون اروپا و آمریکا ول بچرخ و سنگشونو به سینت بزن انشاالله همین روزها خبر کرونا گرفتنتو میشنویم وطن فروش,2020-05-27 09:54:26,-1,-1
10,17911208758417240,B98O-FbjkEG,میگم به خاطر کرونا فیلتر رو ور نمی داری دکتر، مهندس؟!,2020-06-14 11:26:19,-1,0
